"Region","Year","DataType","WaterStress","OpenDefecation","BasicWaterServices","BasicSanitationServices","SafeManagedWaterServices","SafeManagedSanitationServices","PopulationDensity","WaterProductivity"
"Region of the Americas",2022,"Forecast",14.7548597003077,2.07968455863033,96.0720902316145,88.8032636758697,70.6283688863798,50.1699009940875,136.949655990639,39.9161368367308
"Region of the Americas",2023,"Forecast",14.8306255507265,1.94585309009396,96.2270640950808,89.3347618151943,70.8749313508631,50.5529282760977,137.380191007778,39.9161368367308
"Region of the Americas",2024,"Forecast",14.9063914011453,1.82188418304391,96.3820379585472,89.866259954519,71.1613531293917,50.9357251381153,137.810726024917,39.9161368367308
"Region of the Americas",2025,"Forecast",14.9821572515641,1.70465231629403,96.5370118220135,90.3977580938436,71.4813567145984,51.3185220001328,138.241261042056,39.9161368367308
"Region of the Americas",2026,"Forecast",15.0579231019829,1.59202247023307,96.6919856854799,90.9292562331683,71.8271984251011,51.7013188621504,138.671796059195,39.9161368367308
"Region of the Americas",2027,"Forecast",15.1336889524017,1.48253622929807,96.8469595489462,91.4607543724929,72.1916282013597,52.084115724168,139.102331076334,39.9161368367308
"Region of the Americas",2028,"Forecast",15.2094548028205,1.3751973609752,97.0019334124126,91.9922525118176,72.568685713931,52.4669125861855,139.532866093473,39.9161368367308
"Region of the Americas",2029,"Forecast",15.2852206532392,1.26932534645574,97.1569072758789,92.5237506511422,72.953862880075,52.8497094482031,139.963401110612,39.9161368367308
"Region of the Americas",2030,"Forecast",15.360986503658,1.16445532854756,97.3118811393453,93.0552487904669,73.3439614277164,53.2325063102207,140.393936127751,39.9161368367308
"South-East Asia Region",2022,"Forecast",34.9277886255714,2.9154138130306,94.323644241,84.3762203322222,50.2925407185715,45.7869785783333,437.912584981817,143.483310047917
"South-East Asia Region",2023,"Forecast",34.9277886255714,2.183608242958,94.723367055,85.9241667055555,50.7275584214287,46.8533195516666,444.428669249089,143.483310047917
"South-East Asia Region",2024,"Forecast",34.9277886255714,1.45707249619802,95.123089869,87.4721130788888,51.1625761242859,47.9196605249999,450.944753516361,143.483310047917
"South-East Asia Region",2025,"Forecast",34.9277886255714,0.733265975549171,95.5228126830001,89.0200594522221,51.5975938271431,48.9860014983333,457.460837783633,143.483310047917
"South-East Asia Region",2026,"Forecast",34.9277886255714,0.0108729131367429,95.9225354970001,90.5680058255554,52.0326115300003,50.0523424716666,463.976922050905,143.483310047917
"South-East Asia Region",2027,"Forecast",34.9277886255714,-0.71078812338089,96.3222583110001,92.1159521988887,52.4676292328575,51.1186834449999,470.493006318177,143.483310047917
"South-East Asia Region",2028,"Forecast",34.9277886255714,-1.43207004582437,96.7219811250001,93.663898572222,52.9026469357147,52.1850244183332,477.009090585449,143.483310047917
"South-East Asia Region",2029,"Forecast",34.9277886255714,-2.15315562619548,97.1217039390001,95.2118449455553,53.3376646385719,53.2513653916665,483.525174852721,143.483310047917
"South-East Asia Region",2030,"Forecast",34.9277886255714,-2.87413952158041,97.5214267530001,96.7597913188886,53.7726823414291,54.3177063649998,490.041259119993,143.483310047917
"Western Pacific Region",2022,"Forecast",24.0280137728347,6.40892888126059,90.961672492381,81.5415737370482,55.5271357396378,65.9228827564148,453.822727064431,118.32466439734
"Western Pacific Region",2023,"Forecast",24.0919293602027,6.13254273820901,91.2803571685715,82.012723549136,55.889326708209,66.0405150084417,457.262745635462,121.89307254993
"Western Pacific Region",2024,"Forecast",24.1449687852477,5.8565936488262,91.599041844762,82.4973665490028,56.2515176767801,66.1526804224262,460.702764206494,125.461480702521
"Western Pacific Region",2025,"Forecast",24.1889827844137,5.58079567417414,91.9177265209524,82.9936099774185,56.6137086453512,66.2628505295711,464.142782777526,129.029888855111
"Western Pacific Region",2026,"Forecast",24.2255071645505,5.30504994862437,92.2364111971429,83.4998265822787,56.9758996139223,66.3722923822197,467.582801348558,132.598297007701
"Western Pacific Region",2027,"Forecast",24.2558163927428,5.02932228861115,92.5550958733334,84.0146173745469,57.3380905824935,66.4814684338392,471.02281991959,136.166705160291
"Western Pacific Region",2028,"Forecast",24.2809680670539,4.75360087489876,92.8737805495239,84.5367796086139,57.7002815510646,66.5905474724125,474.462838490622,139.735113312882
"Western Pacific Region",2029,"Forecast",24.3018398199285,4.47788162089382,93.1924652257144,85.0652792542168,58.0624725196357,66.6995911028042,477.902857061654,143.303521465472
"Western Pacific Region",2030,"Forecast",24.3191599419478,4.20216311362466,93.5111499019049,85.5992273298657,58.4246634882068,66.8086218097863,481.342875632685,146.871929618062
