"Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","DataType","WaterStress","OpenDefecation","BasicWaterServices","BasicSanitationServices","SafeManagedWaterServices","SafeManagedSanitationServices","PopulationDensity","WaterProductivity"
"Region of the Americas",2014,0,3.35,0.37,0.54,"Historical",14.3128637609259,3.91908907414815,94.0261109796296,84.7665117867857,68.1380367407143,47.1757964223529,133.136008881528,39.4760802368077
"Region of the Americas",2015,0,3.25,0.36,0.52,"Historical",14.0698312805556,3.63721424088889,94.3877233011111,85.3251439496429,68.7262192521429,47.6535393735294,133.671878696389,40.2872253098846
"Region of the Americas",2016,0,3.15,0.36,0.51,"Historical",14.2754807126667,3.35872375774074,94.7362133396296,85.8788146335714,69.2349396064286,48.0973622352941,134.134856493083,40.5493520662692
"Region of the Americas",2017,0,3.04,0.36,0.49,"Historical",14.2842318844074,3.07580212707407,95.0736179848148,86.4290086021429,69.5827313242857,48.4675636405882,134.491121939278,40.8919457552692
"Region of the Americas",2018,0,2.94,0.36,0.47,"Historical",14.6411582728148,2.82529682696296,95.3665467574074,86.9483010560714,69.8553426357143,48.8184446047059,134.666737412694,42.0096252810385
"Region of the Americas",2019,0,2.88,0.36,0.47,"Historical",14.6489190720741,2.59770829562963,95.5694971037037,87.4677479825,70.0625224285714,49.1726643788235,135.249500098028,42.792870049
"Region of the Americas",2020,0,2.72,0.34,0.36,"Historical",14.6182450812222,2.39736010603704,95.7468150218518,87.9061585696429,70.2458764085714,49.4926545147059,136.088585956361,38.0587218605385
"Region of the Americas",2021,0,2.72,0.33,0.32,"Historical",14.6790938498889,2.2279541357037,95.9171163681481,88.3116714728571,70.4225457392857,49.8082312217647,136.5191209735,39.9161368367308
"Region of the Americas",2022,0,2.59217774213152,0.32551087490146,0.35078802613235,"Forecast",14.7548597003077,2.07968455863033,96.0720902316145,88.8032636758697,70.6283688863798,50.1699009940875,136.949655990639,39.9161368367308
"Region of the Americas",2023,0,2.4566439471518,0.320524081890761,0.391560913669363,"Forecast",14.8306255507265,1.94585309009396,96.2270640950808,89.3347618151943,70.8749313508631,50.5529282760977,137.380191007778,39.9161368367308
"Region of the Americas",2024,0,2.32586001212615,0.315478224982302,0.429524399723123,"Forecast",14.9063914011453,1.82188418304391,96.3820379585472,89.866259954519,71.1613531293917,50.9357251381153,137.810726024917,39.9161368367308
"Region of the Americas",2025,0,2.20011470737151,0.310369022600082,0.463987193741164,"Forecast",14.9821572515641,1.70465231629403,96.5370118220135,90.3977580938436,71.4813567145984,51.3185220001328,138.241261042056,39.9161368367308
"Region of the Americas",2026,0,2.07863900425417,0.305206098616405,0.495333712269496,"Forecast",15.0579231019829,1.59202247023307,96.6919856854799,90.9292562331683,71.8271984251011,51.7013188621504,138.671796059195,39.9161368367308
"Region of the Americas",2027,0,1.96034776149188,0.300003095087137,0.524316864227171,"Forecast",15.1336889524017,1.48253622929807,96.8469595489462,91.4607543724929,72.1916282013597,52.084115724168,139.102331076334,39.9161368367308
"Region of the Americas",2028,0,1.84421191560104,0.294772964568018,0.551703033476577,"Forecast",15.2094548028205,1.3751973609752,97.0019334124126,91.9922525118176,72.568685713931,52.4669125861855,139.532866093473,39.9161368367308
"Region of the Americas",2029,0,1.72940383588969,0.289526129066834,0.578124935548809,"Forecast",15.2852206532392,1.26932534645574,97.1569072758789,92.5237506511422,72.953862880075,52.8497094482031,139.963401110612,39.9161368367308
"Region of the Americas",2030,0,1.61532423902492,0.284270136225961,0.604044495390642,"Forecast",15.360986503658,1.16445532854756,97.3118811393453,93.0552487904669,73.3439614277164,53.2325063102207,140.393936127751,39.9161368367308
"South-East Asia Region",2000,0.22,21.77,0.83,10.13,"Historical",32.6113729797143,25.9388451617778,82.98229291,49.68673914,38.4426778242857,23.6547845343333,307.067591757273,64.1032180406667
"South-East Asia Region",2001,0.22,21.73,0.82,9.71,"Historical",32.8799489745714,24.7696590117778,83.584612974,51.0448415488889,38.8265474957143,24.499671473,312.278659394545,63.5413954496667
"South-East Asia Region",2002,0.21,21.72,0.8,9.39,"Historical",33.1961440167143,23.5587999373333,84.191099469,52.5989077755556,39.2051415357143,25.3818978423333,317.232426975455,68.8884354648333
"South-East Asia Region",2003,0.2,21.73,0.78,9.16,"Historical",33.5123390587143,22.3583734377778,84.794384366,54.1586098811111,39.5868473471429,26.2702078033333,321.84095182,79.1533981925
"South-East Asia Region",2004,0.19,21.71,0.77,8.7,"Historical",33.1625164378571,21.1685319451111,85.388157612,55.7236136633333,39.96621697,27.326943385,326.268220876364,84.7805562753333
