"Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","Level.of.water.stress..freshwater.withdrawal.as.a.proportion.of.available.freshwater.resources","People.practicing.open.defecation....of.population.","People.using.at.least.basic.drinking.water.services....of.population.","People.using.at.least.basic.sanitation.services....of.population.","People.using.safely.managed.drinking.water.services....of.population.","People.using.safely.managed.sanitation.services....of.population.","Population.density..people.per.sq..km.of.land.area.","Population..total","Water.productivity..total..constant.2015.US..GDP.per.cubic.meter.of.total.freshwater.withdrawal.","People.with.basic.handwashing.facilities.including.soap.and.water....of.population.","logDiarrheaRate","logTyphoidRate","logHepatitisRate","logUnsafeRisk","Data_Type"
"Eastern Mediterranean Region","2002",0.05,14.93,0.81,5.07,323.524318301095,11.8425359566471,79.8046724247619,75.8251792247619,65.7075710053846,54.51462125625,142.81737351981,23557049.0454545,34.33949004675,NA,2.7033726115511,-2.99573227355399,-0.210721031315653,1.62334081760309,"Historical"
"Eastern Mediterranean Region","2003",0.05,14.81,0.81,4.84,327.694835843476,11.3936536292941,80.2688928366667,76.3573636504762,65.9379402730769,54.776987961875,147.995487005333,24130912.7272727,36.42913441125,NA,2.69530262827971,-2.99573227355399,-0.210721031315653,1.57691472072854,"Historical"
"Eastern Mediterranean Region","2004",0.05,14.73,0.8,4.7,344.64885773919,10.9411838227647,80.7326084942857,76.9064913080952,66.1734929446154,55.086055134375,153.48496085419,24731163.3181818,38.6874363449,NA,2.68988623047454,-2.99573227355399,-0.22314355131421,1.54756250871601,"Historical"
"Eastern Mediterranean Region","2005",0.05,14.66,0.78,4.44,361.856824913476,10.4649216388235,81.241702752381,77.5667710633333,66.4488490923077,55.450427325,159.483336487238,25348804.5454545,40.05499801205,NA,2.68512269645851,-2.99573227355399,-0.2484613592985,1.49065437644413,"Historical"
"Eastern Mediterranean Region","2006",0.05,14.67,0.77,4.3,369.535424714429,9.99192684988235,81.7727275266667,78.2258987452381,66.8902566392308,55.859069815,167.458625355048,25990178.2727273,44.1421486134,NA,2.68580459215489,-2.99573227355399,-0.261364764134408,1.45861502269952,"Historical"
"Eastern Mediterranean Region","2007",0.04,14.75,0.76,4.17,374.349002729667,9.64684101382353,82.2325674909524,78.824666637619,67.3307979138462,56.248126288125,175.732820250238,26638832.0454545,47.77748448165,NA,2.69124308278583,-3.2188758248682,-0.27443684570176,1.42791603581071,"Historical"
"Eastern Mediterranean Region","2008",0.04,14.88,0.75,4.04,379.063835145857,9.15256089005882,82.7943998190476,79.50004115,67.94349613,56.71056947375,182.813007334048,27297773.6818182,51.5053716379,NA,2.70001802940495,-3.2188758248682,-0.287682072451781,1.39624469197306,"Historical"
"Eastern Mediterranean Region","2009",0.04,14.95,0.74,3.85,383.484488808238,8.66370663317647,83.3560176133333,80.1748645219048,68.6391959946154,57.233116998125,191.002834208429,27966831.5,53.0088075635,NA,2.7047112998367,-3.2188758248682,-0.301105092783922,1.34807314829969,"Historical"
"Eastern Mediterranean Region","2010",0.04,14.93,0.73,3.61,388.101091757762,8.17951774805882,83.9181985904762,80.8499168942857,69.3401549738462,57.75936453625,196.493755376143,28558112.5,57.5064007451,NA,2.7033726115511,-3.2188758248682,-0.3147107448397,1.28370777234479,"Historical"
"Eastern Mediterranean Region","2011",0.04,14.76,0.72,3.26,392.072995708238,7.70049410076471,84.4746331247619,81.5223305514286,70.0536810246154,58.289409715,196.699968985619,29202639.1818182,61.6475087778,NA,2.69192081917233,-3.2188758248682,-0.328504066972036,1.18172719537862,"Historical"
"Eastern Mediterranean Region","2012",0.04,14.46,0.72,3.15,397.69536000919,7.26292105352941,85.028170072381,82.1746540195238,70.7902815053846,58.80446933875,200.778249203857,29849140.2727273,63.73757027165,NA,2.67138621673062,-3.2188758248682,-0.328504066972036,1.14740245283754,"Historical"
"Eastern Mediterranean Region","2013",0.04,14.11,0.71,3.09,402.108690551095,6.82963424223529,85.5770666128571,82.8257008666667,71.4910978723077,59.360403770625,208.945668264048,30510044,65.61753111655,NA,2.64688376586472,-3.2188758248682,-0.342490308946776,1.12817109090965,"Historical"
"Eastern Mediterranean Region","2014",0.03,13.74,0.71,2.92,405.651544748238,6.40061728764706,86.1247238109524,83.4686099561905,72.1929632761538,59.92241730875,218.845815679381,31137507.9545455,67.82386522325,NA,2.6203112867942,-3.50655789731998,-0.342490308946776,1.07158361628019,"Historical"
"Eastern Mediterranean Region","2015",0.03,13.45,0.7,2.8,410.824593421571,5.97587643470588,86.6746955509524,84.1012561409524,72.8579627015385,60.497655965,225.417230875619,31782750.8181818,71.3301827045,NA,2.59897910604785,-3.50655789731998,-0.356674943938732,1.02961941718116,"Historical"
"Eastern Mediterranean Region","2016",0.03,13.16,0.7,2.67,417.91852618919,5.55533752376471,87.2234287428571,84.7287387523809,73.4377820646154,61.1209923725,230.901201599095,32399133.2272727,73.626982263,NA,2.57718192589717,-3.50655789731998,-0.356674943938732,0.982078472412158,"Historical"
"Eastern Mediterranean Region","2017",0.03,12.79,0.69,2.57,431.476360421095,5.15315946558824,87.7706784114286,85.3526942976191,73.9384155238461,61.766517295625,237.240239591619,32984044.2727273,73.2498499563,NA,2.54866361559075,-3.50655789731998,-0.371063681390832,0.943905898907128,"Historical"
"Eastern Mediterranean Region","2018",0.03,12.43,0.68,2.4,433.747064150143,4.76545783223529,88.3643420980952,85.9552640819048,74.4369599146154,62.41376354625,239.34278170081,33553349.0454545,74.0930436007,NA,2.52011290552262,-3.50655789731998,-0.385662480811985,0.8754687373539,"Historical"
"Eastern Mediterranean Region","2019",0.03,12.14,0.67,2.28,433.308365340619,4.40762994423529,88.8547814547619,86.5173028080952,74.8320028076923,63.05030538875,239.682212509095,34156415.9545455,74.57636015315,NA,2.49650578563135,-3.50655789731998,-0.400477566597125,0.824175442966349,"Historical"
"Eastern Mediterranean Region","2020",0.03,11.07,0.62,1.72,431.253740068714,4.06791453382353,89.3134692133333,86.9488601957143,75.20041739,63.580784138125,240.516440190619,34821501,70.9308024981,NA,2.40423874672055,-3.50655789731998,-0.478035800943,0.542324290825362,"Historical"
"Eastern Mediterranean Region","2021",0.02,10.96,0.6,1.49,430.398791680619,3.78614193258824,89.7219293947619,87.2359410657143,75.4674489861539,63.877665955625,242.710988120476,35375734.4090909,73.41091647025,NA,2.39425228151987,-3.91202300542815,-0.510825623765991,0.398776119957368,"Historical"
"Eastern Mediterranean Region","2022",0.019999999423633,10.959996575,0.5999998125,1.49000923371285,433.747064150143,3.78614193258824,89.7219293947619,87.2359410657143,NA,NA,NA,NA,82.95597586658,NA,2.39425196901982,-3.91202303424649,-0.51082593626604,0.398782317060886,"Forecasted"
"Eastern Mediterranean Region","2023",0.0199999682506477,10.9598904,0.599994,1.49029552487689,433.747064150143,3.78614193258824,89.7219293947619,87.2359410657143,NA,NA,NA,NA,85.261192924022,NA,2.39424228146987,-3.91202459289702,-0.510835623815991,0.398974439134372,"Forecasted"
"Eastern Mediterranean Region","2024",0.0199996887292929,10.959167725,0.5999544375,1.49224449184465,433.747064150143,3.78614193258824,89.7219293947619,87.2359410657143,NA,NA,NA,NA,87.5664099814639,NA,2.39417634113647,-3.91203856908461,-0.510901564149389,0.400281356885177,"Forecasted"
